molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2022564,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,828.13,5.1124,2.0,10.0,9.494850022
CHEMBL3234200,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)CC2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,814.103,4.8664,2.0,10.0,9.522878745
CHEMBL3234201,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)C(C)(C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,842.157,5.5025,2.0,10.0,9.327902142
CHEMBL3234202,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,828.13,5.1124,2.0,10.0,9.920818754
CHEMBL3649592,CC1CCC(NCc2ccn(Cc3ccccc3)c(=O)c2O)CC1,inactive,326.44,3.2705,2.0,4.0,4.562249437
CHEMBL3649593,O=c1c(O)c(CNCCCn2ccnc2)ccn1Cc1ccccc1,inactive,338.411,1.9786,2.0,6.0,4.37161107
CHEMBL3649594,CC(NCc1ccn(Cc2ccccc2)c(=O)c1O)c1ccccc1,inactive,334.419,3.453,2.0,4.0,4.68613278
CHEMBL3674747,COC[C@H]1CCCN1Cc1ccn(Cc2ccccc2)c(=O)c1O,inactive,328.412,2.213,1.0,5.0,4.27572413
CHEMBL3649595,CSCCNCc1ccn(Cc2ccccc2)c(=O)c1O,inactive,304.415,2.0548,2.0,5.0,4.27572413
CHEMBL3649596,O=c1c(O)c(CN2CCN(c3ccc(Cl)nn3)CC2)ccn1Cc1ccccc1,inactive,411.893,2.3678,1.0,7.0,4.107905397
CHEMBL3649597,O=C1NCCCCC1NCc1ccn(Cc2ccccc2)c(=O)c1O,inactive,341.411,1.3605,3.0,5.0,4.201349355
CHEMBL3649598,O=c1c(O)c(CN2CCN(Cc3ccccc3)CC2)ccn1Cc1ccccc1,inactive,389.499,2.92,1.0,5.0,4.899629455
CHEMBL3649599,O=c1c(O)c(CN2CCCCCC2)ccn1Cc1ccccc1CO,inactive,342.439,2.4705,2.0,5.0,4.534617149
CHEMBL3649600,Cc1ccc(S(=O)(=O)n2ccc(CN3CCC(N4CCCCC4)CC3)c(O)c2=O)cc1,inactive,445.585,2.54962,1.0,7.0,4.568636236
CHEMBL3649601,Cc1ccc(S(=O)(=O)n2ccc(CN3CCN(c4ccc(Cl)nn4)CC3)c(O)c2=O)cc1,inactive,475.958,1.86492,1.0,9.0,4.721246399
CHEMBL3649602,O=c1c(O)c(CNCc2ccccc2)ccn1Cc1ccc(Cl)cc1,inactive,354.837,3.5454,2.0,4.0,4.37675071
CHEMBL3115298,CC(C)(C)OC(=O)N1CCN(Cc2ccn(Cc3ccc(Cl)cc3)c(=O)c2O)CC1,inactive,433.936,3.3083,1.0,6.0,4.779891912
CHEMBL3649603,Cc1ccc(S(=O)(=O)n2ccc(CN(C)CC(=O)O)c(O)c2=O)cc1,intermediate,366.395,0.61572,2.0,7.0,5.677780705
CHEMBL3649604,O=c1c(O)cccn1Cc1ccc(Cl)cc1,intermediate,235.67,2.2556,1.0,3.0,5.13076828
CHEMBL3649605,O=c1c(O)cccn1Cc1cccc(Cl)c1,inactive,235.67,2.2556,1.0,3.0,4.0
CHEMBL3652868,O=c1c(O)c(CN2CCC[C@@H]2CCO)ccn1Cc1ccccc1,inactive,328.412,1.949,2.0,5.0,4.27572413
CHEMBL253969,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,active,532.411,3.8592,3.0,6.0,8.278189385
CHEMBL2448064,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl,active,453.345,4.9747,2.0,6.0,6.0
CHEMBL25579,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,active,453.905,5.0847,1.0,7.0,7.0
CHEMBL24026,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,intermediate,433.487,4.42358,1.0,7.0,5.408935393
CHEMBL26050,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC1CCN(C)CC1,intermediate,416.884,4.6475,1.0,6.0,5.823908741
CHEMBL428534,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,active,396.466,4.20792,2.0,6.0,6.15490196
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,active,459.279,3.9541,1.0,8.0,6.15490196
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,active,410.493,4.55012,1.0,6.0,6.301029996
CHEMBL422758,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,active,448.901,5.0342,1.0,6.0,6.522878745
CHEMBL25450,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,active,434.874,4.692,2.0,6.0,6.346787486
CHEMBL1907763,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,active,430.911,4.8951,1.0,6.0,6.15490196
CHEMBL24137,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,active,446.91,4.2756,1.0,7.0,6.698970004
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,active,475.362,4.4261,1.0,5.0,6.045757491
CHEMBL1744349,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,active,479.383,5.6271,1.0,6.0,6.124938737
CHEMBL24979,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCN(C)CC1,active,489.389,5.3943,1.0,6.0,6.823908741
CHEMBL2448065,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,intermediate,467.372,5.3169,1.0,6.0,5.698970004
CHEMBL1907764,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,active,475.362,5.0042,1.0,6.0,6.301029996
CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,active,445.926,3.8007,1.0,7.0,6.522878745
CHEMBL2448067,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCCC1.Cl,active,467.372,5.461,1.0,6.0,6.698970004
CHEMBL1202477,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,active,540.865,4.7217,1.0,7.0,6.259637311
CHEMBL416191,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,active,493.352,5.1433,1.0,6.0,6.301029996
CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,intermediate,511.823,5.426,1.0,6.0,5.795880017
CHEMBL1907944,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CCCN(C)C1,active,475.362,5.0042,1.0,6.0,6.301029996
CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,active,496.414,4.6126,1.0,7.0,6.22184875
CHEMBL25610,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,intermediate,432.883,3.8855,1.0,7.0,5.958607315
CHEMBL26641,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,active,475.362,5.0521,2.0,6.0,6.698970004
CHEMBL279459,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,active,479.325,4.8011,2.0,6.0,6.096910013
CHEMBL1202473,COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,active,462.953,4.67752,2.0,7.0,7.602059991
CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,active,444.938,5.2852,1.0,6.0,6.301029996
CHEMBL286160,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,active,377.803,4.1997,1.0,6.0,6.397940009
CHEMBL2448066,COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,active,483.371,5.0225,2.0,7.0,7.698970004
CHEMBL1202478,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,active,523.834,5.7362,1.0,6.0,6.187086643
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,intermediate,309.344,3.9942,2.0,2.0,5.818156412
CHEMBL421329,CCCNC(=O)c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1,intermediate,351.435,4.056,3.0,5.0,5.698970004
CHEMBL76432,c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,active,342.427,5.5832,2.0,4.0,7.318758763
CHEMBL312818,c1ccc(CCCN(c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)n2ccnc2)cc1,active,465.586,6.0152,2.0,7.0,8.397940009
CHEMBL311111,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CN6CCOCC6)cc5)sc34)ccc2[nH]1,active,454.599,6.32882,2.0,5.0,8.301029996
CHEMBL80540,c1cc(Nc2ccc3[nH]ccc3c2)c2sc(-c3ccc(CNCCN4CCNCC4)cc3)cc2n1,active,482.657,5.183,4.0,6.0,8.15490196
CHEMBL312753,OCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,active,372.453,5.0755,3.0,5.0,7.251811973
CHEMBL80809,CC(=O)NCCNCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,active,456.575,4.8089,4.0,6.0,8.397940009
CHEMBL312678,CNc1ccc(Nc2ncnc3cc(-c4ccccc4)sc23)cc1,active,332.432,5.1436,2.0,5.0,6.721246399
CHEMBL311108,Nc1ncnc2cc(-c3ccccc3)sc12,intermediate,227.292,2.9405,1.0,4.0,5.903089987
CHEMBL310740,OCCNCc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,active,414.534,5.2701,4.0,5.0,8.22184875
CHEMBL310724,c1ccc(Nc2ccc(Nc3ncnc4cc(-c5ccccc5)sc34)cc2)cc1,active,394.503,6.8455,2.0,5.0,6.408935393
CHEMBL308498,CC(C)(CO)NCc1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,active,443.576,5.4437,4.0,6.0,7.602059991
